sub_num,list,practice,target,study_order,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score
15,0,C,soil,1,NaN,NaN,NaN,NaN,,NaN
15,0,C,pen,2,NaN,NaN,NaN,NaN,,NaN
15,0,C,mistress,3,NaN,NaN,NaN,NaN,,NaN
15,0,C,corner,4,NaN,NaN,NaN,NaN,,NaN
15,0,C,film,5,NaN,NaN,NaN,NaN,,NaN
15,0,C,rope,6,NaN,NaN,NaN,NaN,,NaN
15,0,C,frame,7,NaN,NaN,NaN,NaN,,NaN
15,0,C,bottle,8,NaN,NaN,NaN,NaN,,NaN
15,0,C,aisle,9,NaN,NaN,NaN,NaN,,NaN
15,0,C,hospital,10,NaN,NaN,NaN,NaN,,NaN
15,0,C,date,11,NaN,NaN,NaN,NaN,,NaN
15,0,C,satellite,12,NaN,NaN,NaN,NaN,,NaN
15,0,C,lemon,13,NaN,NaN,NaN,NaN,,NaN
15,0,C,forest,14,NaN,NaN,NaN,NaN,,NaN
15,0,C,library,15,NaN,NaN,NaN,NaN,,NaN
15,1,S,cabin,16,1,2855325.45124374,NaN,NaN,,NaN
15,1,S,belly,17,2,2855329.46765817,NaN,NaN,,NaN
15,1,S,gift,18,3,2855333.48405389,NaN,NaN,,NaN
15,1,S,pool,19,4,2855337.50043904,NaN,NaN,,NaN
15,1,S,heel,20,5,2855341.51687097,NaN,NaN,,NaN
15,1,S,honeymoon,21,6,2855345.53328661,NaN,NaN,,NaN
15,1,S,pocket,22,7,2855349.54968293,NaN,NaN,,NaN
15,1,S,pepper,23,8,2855353.56608256,NaN,NaN,,NaN
15,1,S,maiden,24,9,2855357.58251359,NaN,NaN,,NaN
15,1,S,steel,25,10,2855361.59889995,NaN,NaN,,NaN
15,1,S,needle,26,11,2855365.61530502,NaN,NaN,,NaN
15,1,S,hound,27,12,2855369.63169802,NaN,NaN,,NaN
15,1,S,coal,28,13,2855373.64811154,NaN,NaN,,NaN
15,1,S,puppy,29,14,2855377.66451661,NaN,NaN,,NaN
15,1,S,shepherd,30,15,2855381.68092259,NaN,NaN,,NaN
15,2,T,pie,31,1,2855596.08362756,2855596.95861681,2855597.75056559,pie,NaN
15,2,T,dice,32,2,2855598.13350291,2855598.81451183,2855599.23048628,dice,NaN
15,2,T,sand,33,3,2855599.56669773,2855599.75046658,2855600.23040901,sand,NaN
15,2,T,wing,34,4,2855600.69999931,2855600.85437673,2855602.14227941,scratch,NaN
15,2,T,toad,35,5,2855602.96652006,2855603.19027607,2855603.99024009,rain,NaN
15,2,T,rain,36,6,2855604.36638707,2855604.59821596,2855605.19014114,toad,NaN
15,2,T,chest,37,7,2855605.54968685,2855605.90213614,2855606.66208524,chest,NaN
15,2,T,whip,38,8,2855607.01623815,2855607.89402491,2855608.9899805,minister,NaN
15,2,T,minister,39,9,2855609.53275868,2855630.59685554,2855631.43676023,bread,NaN
15,2,T,bread,40,10,2855632.14795352,2855639.44438035,2855640.52428674,soldier,NaN
15,2,T,detective,41,11,2855641.16402868,NaN,2855686.16514068,,NaN
15,2,T,soldier,42,12,0,0,0,,NaN
15,2,T,fireplace,43,13,0,0,0,,NaN
15,2,T,scratch,44,14,0,0,0,,NaN
15,2,T,storm,45,15,0,0,0,,NaN
15,3,S,bone,46,1,2855898.53062341,NaN,NaN,,NaN
15,3,S,lightning,47,2,2855902.54699256,NaN,NaN,,NaN
15,3,S,vice,48,3,2855906.5633922,NaN,NaN,,NaN
15,3,S,radio,49,4,2855910.57981991,NaN,NaN,,NaN
15,3,S,beam,50,5,2855914.59622861,NaN,NaN,,NaN
15,3,S,armor,51,6,2855918.61262734,NaN,NaN,,NaN
15,3,S,hotel,52,7,2855922.62903935,NaN,NaN,,NaN
15,3,S,straw,53,8,2855926.64544291,NaN,NaN,,NaN
15,3,S,army,54,9,2855930.6618504,NaN,NaN,,NaN
15,3,S,horse,55,10,2855934.67825426,NaN,NaN,,NaN
15,3,S,hat,56,11,2855938.69466054,NaN,NaN,,NaN
15,3,S,apple,57,12,2855942.71106139,NaN,NaN,,NaN
15,3,S,barrel,58,13,2855946.72746767,NaN,NaN,,NaN
15,3,S,suitcase,59,14,2855950.74390232,NaN,NaN,,NaN
15,3,S,novel,60,15,2855954.76030105,NaN,NaN,,NaN
15,4,T,collar,61,1,2856171.02949918,2856171.84824713,2856173.18414375,thunder,NaN
15,4,T,shield,62,2,2856173.77934577,2856174.52009983,2856175.35203727,shield,NaN
15,4,T,thunder,63,3,2856176.21252036,2856177.43193461,2856178.23987161,knife,NaN
15,4,T,poison,64,4,2856178.6790116,2856179.8237906,2856180.83174154,poison,NaN
15,4,T,knife,65,5,2856181.22888106,2856182.04769662,2856182.74363941,ferry,NaN
15,4,T,piano,66,6,2856183.2620495,2856184.9595637,2856185.70349016,tomato,NaN
15,4,T,cow,67,7,2856186.56183196,2856187.14340681,2856188.08731914,gorilla,NaN
15,4,T,gorilla,68,8,2856189.74496029,2856196.78288825,2856199.25473816,collar,NaN
15,4,T,ferry,69,9,2856199.99430777,NaN,2856261.09572256,,NaN
15,4,T,ridge,70,10,0,0,0,,NaN
15,4,T,package,71,11,0,0,0,,NaN
15,4,T,telephone,72,12,0,0,0,,NaN
15,4,T,factory,73,13,0,0,0,,NaN
15,4,T,tomato,74,14,0,0,0,,NaN
15,4,T,city,75,15,0,0,0,,NaN
15,5,S,net,76,1,2856470.02670891,NaN,NaN,,NaN
15,5,S,gravy,77,2,2856474.04307535,NaN,NaN,,NaN
15,5,S,garden,78,3,2856478.05948314,NaN,NaN,,NaN
15,5,S,scissors,79,4,2856482.07595974,NaN,NaN,,NaN
15,5,S,missile,80,5,2856486.09235335,NaN,NaN,,NaN
15,5,S,hill,81,6,2856490.1087391,NaN,NaN,,NaN
15,5,S,sign,82,7,2856494.12514598,NaN,NaN,,NaN
15,5,S,pier,83,8,2856498.14157429,NaN,NaN,,NaN
15,5,S,road,84,9,2856502.15795371,NaN,NaN,,NaN
15,5,S,steak,85,10,2856506.17436391,NaN,NaN,,NaN
15,5,S,shovel,86,11,2856510.19076687,NaN,NaN,,NaN
15,5,S,bridge,87,12,2856514.20717043,NaN,NaN,,NaN
15,5,S,soap,88,13,2856518.2235746,NaN,NaN,,NaN
15,5,S,cream,89,14,2856522.23996669,NaN,NaN,,NaN
15,5,S,corpse,90,15,2856526.25637327,NaN,NaN,,NaN
15,6,T,branch,91,1,2856739.44248958,2856740.2501839,2856741.41810972,branch,NaN
15,6,T,brain,92,2,2856742.30897007,2856743.16201385,2856744.00193635,robin,NaN
15,6,T,husband,93,3,2856744.94213597,2856746.57787028,2856747.76975097,mattress,NaN
15,6,T,wind,94,4,2856748.4085774,2856749.02572308,2856750.17763019,husband,NaN
15,6,T,mattress,95,5,2856750.60842322,2856751.90557568,2856753.08146935,partner,NaN
15,6,T,partner,96,6,2856754.04153744,2856775.616315,2856776.20027082,wind,NaN
15,6,T,spark,97,7,2856776.54008027,NaN,2856829.44112343,,NaN
15,6,T,robin,98,8,0,0,0,,NaN
15,6,T,feast,99,9,0,0,0,,NaN
15,6,T,station,100,10,0,0,0,,NaN
15,6,T,prince,101,11,0,0,0,,NaN
15,6,T,cord,102,12,0,0,0,,NaN
15,6,T,pump,103,13,0,0,0,,NaN
15,6,T,camp,104,14,0,0,0,,NaN
15,6,T,cigar,105,15,0,0,0,,NaN
15,7,S,dame,106,1,2857037.55639841,NaN,NaN,,NaN
15,7,S,bank,107,2,2857041.57278266,NaN,NaN,,NaN
15,7,S,toast,108,3,2857045.58921852,NaN,NaN,,NaN
15,7,S,shower,109,4,2857049.60562087,NaN,NaN,,NaN
15,7,S,herd,110,5,2857053.6220199,NaN,NaN,,NaN
15,7,S,bishop,111,6,2857057.63843011,NaN,NaN,,NaN
15,7,S,trash,112,7,2857061.65482854,NaN,NaN,,NaN
15,7,S,cheek,113,8,2857065.67124236,NaN,NaN,,NaN
15,7,S,hook,114,9,2857069.68765498,NaN,NaN,,NaN
15,7,S,tunnel,115,10,2857073.70408903,NaN,NaN,,NaN
15,7,S,cross,116,11,2857077.72044369,NaN,NaN,,NaN
15,7,S,neck,117,12,2857081.75353304,NaN,NaN,,NaN
15,7,S,highway,118,13,2857085.76992634,NaN,NaN,,NaN
15,7,S,dentist,119,14,2857089.78633232,NaN,NaN,,NaN
15,7,S,ambassador,120,15,2857093.80274373,NaN,NaN,,NaN
15,8,T,stake,121,1,2857308.272101,2857308.72413498,2857309.27606606,weed,NaN
15,8,T,prison,122,2,2857309.85531819,2857310.57204283,2857311.45996923,stake,NaN
15,8,T,guitar,123,3,2857312.15514019,2857312.56392134,2857314.1558272,prison,NaN
15,8,T,weed,124,4,2857314.92166412,2857315.58776392,2857320.65947849,spaghetti,NaN
15,8,T,tooth,125,5,2857321.65456352,2857327.89113262,2857328.78706369,coast,NaN
15,8,T,essay,126,6,2857329.97068796,2857346.61812668,2857347.90604777,church,NaN
15,8,T,bucket,127,7,2857348.53613061,NaN,2857398.33769351,,NaN
15,8,T,sponge,128,8,0,0,0,,NaN
15,8,T,gown,129,9,0,0,0,,NaN
15,8,T,cane,130,10,0,0,0,,NaN
15,8,T,spaghetti,131,11,0,0,0,,NaN
15,8,T,church,132,12,0,0,0,,NaN
15,8,T,coast,133,13,0,0,0,,NaN
15,8,T,nail,134,14,0,0,0,,NaN
15,8,T,giant,135,15,0,0,0,,NaN
