sub_num,list,practice,target,study_order,final_order,final_onset,final_FP,final_LP,final_resp,final_score
17,0,C,shirt,1,NaN,2857178.487,2857179.024,2857179.616,shirt,NaN
17,0,C,steel,2,NaN,2857180.12,2857181.6,2857182.416,steel,NaN
17,0,C,necklace,3,NaN,2857182.786,2857183.752,2857184.272,mayor,NaN
17,0,C,dove,4,NaN,2857184.553,2857184.656,2857185.04,kiss,NaN
17,0,C,chain,5,NaN,2857185.269,2857186.16,2857187.136,necklace,NaN
17,0,C,mustard,6,NaN,2857187.352,2857190.144,2857190.944,dove,NaN
17,0,C,shell,7,NaN,2857191.235,2857194.184,2857194.824,rifle,NaN
17,0,C,mayor,8,NaN,2857195.318,2857207.775,2857208.999,necklace,NaN
17,0,C,kiss,9,NaN,2857209.367,NaN,2857248.048,,NaN
17,0,C,gorilla,10,NaN,2857248.064,NaN,2857248.864,,NaN
17,0,C,balloon,11,NaN,2857248.88,NaN,2857268.581,,NaN
17,0,C,rifle,12,NaN,0,0,0,,NaN
17,0,C,alley,13,NaN,0,0,0,,NaN
17,0,C,moon,14,NaN,0,0,0,,NaN
17,0,C,wheat,15,NaN,0,0,0,,NaN
17,1,S,hat,16,NaN,2857447.846,2857448.41,2857448.65,hat,NaN
17,1,S,spider,17,NaN,2857449.562,2857450.034,2857450.41,snow,NaN
17,1,S,diamond,18,NaN,2857450.879,2857451.146,2857451.882,spider,NaN
17,1,S,medal,19,NaN,2857452.295,2857453.162,2857455.266,magazine,NaN
17,1,S,poet,20,NaN,2857455.545,2857456.034,2857456.514,medal,NaN
17,1,S,vodka,21,NaN,2857456.828,2857463.649,2857464.737,passage,NaN
17,1,S,movie,22,NaN,2857464.978,2857465.097,2857472.161,pigeon,NaN
17,1,S,magazine,23,NaN,2857472.694,2857473.481,2857473.889,poet,NaN
17,1,S,pigeon,24,NaN,2857474.177,2857474.489,2857476.065,passage,NaN
17,1,S,bullet,25,NaN,2857476.293,2857476.737,2857477.057,hat,NaN
17,1,S,chin,26,NaN,2857477.276,2857487.896,2857489.432,diamond,NaN
17,1,S,passage,27,NaN,2857489.992,2857490.192,2857490.688,chin,NaN
17,1,S,snow,28,NaN,2857491.025,2857491.232,2857492.176,bullet,NaN
17,1,S,body,29,NaN,2857492.458,2857492.728,2857493.544,basket,NaN
17,1,S,basket,30,NaN,2857493.808,2857494.248,2857494.704,body,NaN
17,2,T,truck,31,NaN,2857746.519,2857747.411,2857748.298,planet,NaN
17,2,T,sun,32,NaN,2857749.035,2857749.186,2857750.29,powder,NaN
17,2,T,cake,33,NaN,2857750.585,2857750.786,2857752.674,mouth,NaN
17,2,T,lemon,34,NaN,2857753.285,2857758.818,2857759.586,card_WH_EDIT,NaN
17,2,T,ticket,35,NaN,2857760.017,2857760.322,2857761.626,cart,NaN
17,2,T,mouth,36,NaN,2857762.117,2857762.61,2857763.058,cake,NaN
17,2,T,cart,37,NaN,2857763.334,2857769.369,2857770.729,avenue,NaN
17,2,T,avenue,38,NaN,2857771.233,2857771.537,2857772.169,truck,NaN
17,2,T,planet,39,NaN,2857772.533,2857773.289,2857773.921,ticket,NaN
17,2,T,vault,40,NaN,2857774.166,2857775.977,2857776.841,vault,NaN
17,2,T,garlic,41,NaN,2857777.099,2857791.8,2857792.592,file,NaN
17,2,T,powder,42,NaN,2857795.048,2857806.263,2857806.991,button,NaN
17,2,T,fuel,43,NaN,2857807.297,NaN,2857836.597,,NaN
17,2,T,beam,44,NaN,0,0,0,,NaN
17,2,T,card,45,NaN,0,0,0,,NaN
17,3,S,fort,46,NaN,2858015.244,2858015.876,2858016.476,canal,NaN
17,3,S,monkey,47,NaN,2858016.994,2858017.212,2858018.804,cord,NaN
17,3,S,priest,48,NaN,2858019.094,2858019.492,2858020.9,priest,NaN
17,3,S,palace,49,NaN,2858021.26,2858021.428,2858022.452,palace,NaN
17,3,S,axe,50,NaN,2858022.743,2858023.22,2858025.468,monkey,NaN
17,3,S,storm,51,NaN,2858025.893,2858026.196,2858026.972,meat,NaN
17,3,S,canal,52,NaN,2858027.41,2858028.612,2858030.315,briefcase,NaN
17,3,S,square,53,NaN,2858030.609,2858033.875,2858034.619,fly,NaN
17,3,S,hair,54,NaN,2858035.259,2858035.363,2858035.835,fort,NaN
17,3,S,glove,55,NaN,2858036.109,2858036.259,2858037.547,dentist,NaN
17,3,S,dentist,56,NaN,2858037.809,2858038.179,2858038.803,glove,NaN
17,3,S,cord,57,NaN,2858039.058,2858039.315,2858040.227,hair,NaN
17,3,S,briefcase,58,NaN,2858040.508,2858041.331,2858042.107,storm,NaN
17,3,S,fly,59,NaN,2858042.542,2858042.763,2858043.843,square,NaN
17,3,S,meat,60,NaN,2858044.191,2858044.443,2858045.179,axe,NaN
17,3,,,NaN,NaN,2858045.491,2858051.626,2858052.546,palace,NaN
17,3,,,NaN,NaN,2858052.807,2858053.09,2858054.658,priest,NaN
17,3,,,NaN,NaN,2858055.09,2858072.473,2858073.553,dentist,NaN
17,3,,,NaN,NaN,2858073.889,2858079.761,2858080.121,hair,NaN
17,4,T,mail,61,NaN,2858315.383,2858316.444,2858317.772,salmon,NaN
17,4,T,brake,62,NaN,2858318.049,2858319.22,2858320.756,collar,NaN
17,4,T,restaurant,63,NaN,2858321.016,2858323.212,2858323.828,drill,NaN
17,4,T,flesh,64,NaN,2858324.065,2858324.524,2858325.156,queen,NaN
17,4,T,board,65,NaN,2858325.482,2858329.844,2858330.38,money,NaN
