sub_num,version,datetime,exp_onset,list,practice,target,study_order,study_onset
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,morphine,1,2858158.84961269
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,bridge,2,2858162.866009
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,shell,3,2858166.88241226
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,leaf,4,2858170.89881673
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,spike,5,2858174.91524535
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,butterfly,6,2858178.93162023
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,ear,7,2858182.94802742
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,ferry,8,2858186.96442856
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,alley,9,2858190.98086261
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,hound,10,2858194.99723297
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,brick,11,2858199.01362567
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,wine,12,2858203.03003919
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,blanket,13,2858207.04644064
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,candle,14,2858211.06283816
18,pilot1,2015-02-25-1505m51s,2858059.19005149,0,C,bank,15,2858215.07925048
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,spaghetti,16,2858370.43578466
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,apple,17,2858374.45218581
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,policeman,18,2858378.46858907
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,gown,19,2858382.48501285
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,whistle,20,2858386.50139921
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,pocket,21,2858390.51780096
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,farm,22,2858394.53420815
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,turtle,23,2858398.55061352
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,umbrella,24,2858402.56702251
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,string,25,2858406.58342638
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,doll,26,2858410.59983235
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,wreck,27,2858414.61623863
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,light,28,2858418.63264491
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,shoe,29,2858422.64905753
18,pilot1,2015-02-25-1505m51s,2858059.19005149,1,T,chocolate,30,2858426.66547799
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,pillow,31,2858668.49972909
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,ribbon,32,2858672.51614141
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,camera,33,2858676.5325501
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,hair,34,2858680.54895457
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,ankle,35,2858684.56539224
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,reed,36,2858688.58176803
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,beach,37,2858692.59817069
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,mule,38,2858696.61457878
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,glass,39,2858700.63098113
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,deer,40,2858704.64738801
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,closet,41,2858708.66379127
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,cloth,42,2858712.68020661
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,cannon,43,2858716.69660293
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,marble,44,2858720.71299864
18,pilot1,2015-02-25-1505m51s,2858059.19005149,2,S,clown,45,2858724.7294182
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,chicken,46,2858940.09870631
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,gun,47,2858944.11515244
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,bean,48,2858948.13152793
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,lamp,49,2858952.14795322
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,costume,50,2858956.16434652
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,bee,51,2858960.18075703
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,paper,52,2858964.19715063
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,blade,53,2858968.21358317
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,storm,54,2858972.22997043
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,worm,55,2858976.24633535
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,fuel,56,2858980.26281951
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,tent,57,2858984.27919228
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,roof,58,2858988.29555087
18,pilot1,2015-02-25-1505m51s,2858059.19005149,3,T,canal,59,2858992.31199699
