subject,group,list,cue,target,practice,test,onset
10,immediate,1,vodka,wolf,S,1,541916.28628538
10,immediate,1,pants,husband,T,NA,541920.785967988
10,immediate,1,newspaper,shed,,NA,541925.285675951
10,immediate,1,mail,arm,,NA,541929.785371539
10,immediate,1,hospital,gold,,1,541934.285041469
10,immediate,1,shower,grass,,NA,541938.784742188
10,immediate,1,leather,choir,S,NA,541943.284422381
10,immediate,1,jury,bucket,T,1,541947.784132156
10,immediate,1,hostage,tank,,1,541952.283809633
10,immediate,1,tooth,tiger,,1,541956.78351669
10,immediate,1,store,wolf,,NA,541961.283189941
10,immediate,1,beer,husband,,1,541965.782881303
10,immediate,1,brush,shed,,1,541970.28258504
10,immediate,1,bed,arm,S,1,541974.782309001
10,immediate,1,copper,gold,,NA,541979.281976215
10,immediate,1,foot,grass,T,1,541983.781668784
10,immediate,1,bullet,choir,,1,541988.281361353
10,immediate,1,pillow,bucket,,NA,541992.780998081
10,immediate,1,paint,tank,S,NA,541997.280746793
10,immediate,1,lemon,tiger,T,NA,542001.780436645
10,immediate,2,gallery,seed,,1,542159.486362109
10,immediate,2,soap,anchor,,NA,542163.986072487
10,immediate,2,machine,film,,1,542168.48574604
10,immediate,2,cotton,jacket,S,NA,542172.985442231
10,immediate,2,cage,frog,S,1,542177.485140837
10,immediate,2,shore,ambassador,T,NA,542181.984826766
10,immediate,2,dove,passage,T,1,542186.484519033
10,immediate,2,tongue,shirt,,NA,542190.984212507
10,immediate,2,sword,alcohol,,NA,542195.483915339
10,immediate,2,shoulder,aisle,,1,542199.983599758
10,immediate,2,patch,seed,,NA,542204.483294742
10,immediate,2,picture,anchor,T,1,542208.983000291
10,immediate,2,closet,film,T,NA,542213.482689539
10,immediate,2,seal,jacket,,1,542217.982392673
10,immediate,2,bomb,frog,,NA,542222.482110597
10,immediate,2,boot,ambassador,,1,542226.981786867
10,immediate,2,instrument,passage,,NA,542231.481471286
10,immediate,2,priest,shirt,,1,542235.981171099
10,immediate,2,ankle,alcohol,S,1,542240.480860046
10,immediate,2,net,aisle,S,NA,542244.98056318
10,immediate,3,hound,guitar,S,1,542397.336893013
10,immediate,3,elephant,snow,,NA,542401.836590713
10,immediate,3,witch,piano,,1,542406.336298072
10,immediate,3,child,cat,T,NA,542410.835980379
10,immediate,3,beard,pen,,1,542415.335659063
10,immediate,3,road,pony,,NA,542419.835376987
10,immediate,3,aunt,ant,T,1,542424.335055973
10,immediate,3,president,star,,1,542428.834765144
10,immediate,3,gift,lobster,,NA,542433.334451676
10,immediate,3,cord,gentleman,S,NA,542437.834181976
10,immediate,3,earth,guitar,,NA,542442.333851001
10,immediate,3,market,snow,,1,542446.83354689
10,immediate,3,radio,piano,S,NA,542451.333242176
10,immediate,3,shoe,cat,,1,542455.832928708
10,immediate,3,lion,pen,T,NA,542460.332632143
10,immediate,3,lunch,pony,S,1,542464.832326523
10,immediate,3,spot,ant,,NA,542469.332020903
10,immediate,3,pork,star,,NA,542473.831718302
10,immediate,3,ski,lobster,T,1,542478.331412984
10,immediate,3,factory,gentleman,,1,542482.831131814
10,immediate,4,powder,salt,T,NA,542937.033715381
10,immediate,4,missile,wheel,S,NA,542941.533414289
10,immediate,4,ranch,coast,,NA,542946.033103839
10,immediate,4,page,mustard,,1,542950.532794899
10,immediate,4,ground,circle,,1,542955.03246815
10,immediate,4,slave,butterfly,,1,542959.532199053
10,immediate,4,planet,dress,T,1,542964.031886793
10,immediate,4,bridge,costume,S,1,542968.53159536
10,immediate,4,platform,banner,,NA,542973.031280081
10,immediate,4,gown,bloom,,NA,542977.530984724
10,immediate,4,pencil,salt,,1,542982.030667936
10,immediate,4,corridor,wheel,,1,542986.530361108
10,immediate,4,butcher,coast,,1,542991.030059714
10,immediate,4,dust,mustard,S,NA,542995.529764961
10,immediate,4,sting,circle,,NA,543000.029452097
10,immediate,4,boss,butterfly,T,NA,543004.529151608
10,immediate,4,laundry,dress,,NA,543009.028851422
10,immediate,4,river,costume,,NA,543013.528543689
10,immediate,4,drill,banner,S,1,543018.028257689
10,immediate,4,crown,bloom,T,1,543022.52793758
10,immediate,5,spice,pumpkin,,1,543158.802054007
10,immediate,5,turtle,mountain,,NA,543163.301773742
10,immediate,5,salad,train,T,NA,543167.801445484
10,immediate,5,hardware,cheek,T,1,543172.301129299
