subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress,round
38,immediate,1,king,gun,S,1,1880520.63269159,,NaN,NaN,1
38,immediate,1,drum,bell,S,NaN,1880525.13229481,,NaN,NaN,1
38,immediate,1,nurse,statue,S,NaN,1880529.63191765,,NaN,NaN,1
38,immediate,1,wallet,needle,S,1,1880534.13152208,,NaN,NaN,1
38,immediate,2,band,pony,S,1,1880740.83032063,,NaN,NaN,1
38,immediate,2,farm,closet,S,NaN,1880745.32990574,,NaN,NaN,1
38,immediate,2,shirt,net,S,NaN,1880749.82950443,,NaN,NaN,1
38,immediate,2,trophy,liquor,S,1,1880754.32911912,,NaN,NaN,1
38,immediate,3,feast,spaghetti,S,NaN,1880929.11370999,,NaN,NaN,1
38,immediate,3,guitar,gate,S,1,1880933.6133105,,NaN,NaN,1
38,immediate,3,patch,passage,S,1,1880938.11291281,,NaN,NaN,1
38,immediate,3,flood,beam,S,NaN,1880942.61251633,,NaN,NaN,1
38,immediate,4,cord,shovel,S,1,1881495.94473454,,NaN,NaN,1
38,immediate,4,peanut,envelope,S,NaN,1881500.44431482,,NaN,NaN,1
38,immediate,4,breakfast,corner,S,NaN,1881504.94388544,,NaN,NaN,1
38,immediate,4,tank,bourbon,S,1,1881509.44346421,,NaN,NaN,1
38,immediate,5,witch,river,S,1,1881682.89410758,,NaN,NaN,1
38,immediate,5,restaurant,window,S,NaN,1881687.39369994,,NaN,NaN,1
38,immediate,5,test,helmet,S,1,1881691.89329199,,NaN,NaN,1
38,immediate,5,automobile,mouth,S,NaN,1881696.39291151,,NaN,NaN,1
38,immediate,6,hand,ring,S,1,1881896.99150598,,NaN,NaN,1
38,immediate,6,coast,turkey,S,NaN,1881901.49106573,,NaN,NaN,1
38,immediate,6,bow,book,S,NaN,1881905.99066744,,NaN,NaN,1
38,immediate,6,elbow,choir,S,1,1881910.49026101,,NaN,NaN,1
38,immediate,7,trash,duck,S,NaN,1882389.88052108,,NaN,NaN,1
38,immediate,7,cocktail,shed,S,1,1882394.38014603,,NaN,NaN,1
38,immediate,7,prince,orange,S,1,1882398.87971967,,NaN,NaN,1
38,immediate,7,admiral,channel,S,NaN,1882403.3793419,,NaN,NaN,1
38,immediate,8,brandy,ferry,S,NaN,1882616.94339252,,NaN,NaN,1
38,immediate,8,factory,mistress,S,1,1882621.44299514,,NaN,NaN,1
38,immediate,8,garden,messenger,S,NaN,1882625.94258356,,NaN,NaN,1
38,immediate,8,screw,spot,S,1,1882630.44220278,,NaN,NaN,1
38,immediate,9,turtle,suitcase,S,NaN,1882798.77687079,,NaN,NaN,1
38,immediate,9,palm,date,S,1,1882803.27646345,,NaN,NaN,1
38,immediate,9,candy,dust,S,1,1882807.77605218,,NaN,NaN,1
38,immediate,9,wheat,wheel,S,NaN,1882812.27564211,,NaN,NaN,1
38,immediate,10,path,mechanic,S,NaN,1883015.10703522,,NaN,NaN,1
38,immediate,10,football,apartment,S,1,1883019.60664628,,NaN,NaN,1
38,immediate,10,throne,jury,S,NaN,1883024.10620815,,NaN,NaN,1
38,immediate,10,wedding,tent,S,1,1883028.6058156,,NaN,NaN,1
38,immediate,1,king,gun,S,1,1880559.39602628,,NaN,NaN,2
38,immediate,1,drum,bell,S,NaN,1880563.89564158,,NaN,NaN,2
38,immediate,1,nurse,statue,S,NaN,1880568.39528162,,NaN,NaN,2
38,immediate,1,wallet,needle,S,1,1880572.89486251,,NaN,NaN,2
38,immediate,2,band,pony,S,1,1880774.6940061,,NaN,NaN,2
38,immediate,2,farm,closet,S,NaN,1880779.19361898,,NaN,NaN,2
38,immediate,2,shirt,net,S,NaN,1880783.69321737,,NaN,NaN,2
38,immediate,2,trophy,liquor,S,1,1880788.19282361,,NaN,NaN,2
38,immediate,3,feast,spaghetti,S,NaN,1880976.64283069,,NaN,NaN,2
38,immediate,3,guitar,gate,S,1,1880981.142465,,NaN,NaN,2
38,immediate,3,patch,passage,S,1,1880985.64203592,,NaN,NaN,2
38,immediate,3,flood,beam,S,NaN,1880990.14165574,,NaN,NaN,2
38,immediate,4,cord,shovel,S,1,1881527.90842668,,NaN,NaN,2
38,immediate,4,peanut,envelope,S,NaN,1881532.40800937,,NaN,NaN,2
38,immediate,4,breakfast,corner,S,NaN,1881536.90758814,,NaN,NaN,2
38,immediate,4,tank,bourbon,S,1,1881541.40716359,,NaN,NaN,2
38,immediate,5,witch,river,S,1,1881723.70705985,,NaN,NaN,2
38,immediate,5,restaurant,window,S,NaN,1881728.20662654,,NaN,NaN,2
38,immediate,5,test,helmet,S,1,1881732.70626719,,NaN,NaN,2
38,immediate,5,automobile,mouth,S,NaN,1881737.20585985,,NaN,NaN,2
38,immediate,6,hand,ring,S,1,1881929.05525973,,NaN,NaN,2
38,immediate,6,coast,turkey,S,NaN,1881933.55485993,,NaN,NaN,2
38,immediate,6,bow,book,S,NaN,1881938.05445802,,NaN,NaN,2
38,immediate,6,elbow,choir,S,1,1881942.55405429,,NaN,NaN,2
38,immediate,7,trash,duck,S,NaN,1882435.05985084,,NaN,NaN,2
38,immediate,7,cocktail,shed,S,1,1882439.55940396,,NaN,NaN,2
