subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress,round
49,immediate,1,moon,flag,T,1,3038.17221821602,voult,3041.05600650061,3043.69587333708,1
49,immediate,1,port,babe,T,NaN,3044.47155574887,wine,3047.23972031915,3050.87154802155,1
49,immediate,1,medicine,elbow,T,NaN,3051.40445178406,cabinet,3052.91143158043,3054.99140818112,1
49,immediate,1,blood,bourbon,T,1,3055.82083986961,babe,3057.71920231071,3059.05516041895,1
49,immediate,2,policeman,ship,T,1,3309.58868448036,guitar,3314.31519997923,3315.65112246934,1
49,immediate,2,lane,arrow,T,NaN,3316.07130479194,ski,3317.61101161846,3318.01902914016,1
49,immediate,2,lunch,hose,T,NaN,3318.52115279607,oven,3321.24288761663,3322.5228313762,1
49,immediate,2,store,puppy,T,1,3322.93753967423,corridor,3324.52273055876,3330.79443596418,1
49,immediate,3,axe,knife,T,NaN,3534.7080538341,strawberry,3538.96867988623,3544.62442969478,1
49,immediate,3,gravy,pearl,T,1,3545.47374686794,soup,3547.24029352966,3547.91224506244,1
49,immediate,3,ditch,bed,T,1,3548.62354407095,,NaN,NaN,1
49,immediate,3,station,cent,T,NaN,3556.65637916291,noise,3566.54344642897,3567.46333037421,1
49,immediate,4,nail,cape,T,NaN,4123.77076590161,wood,4126.87717538521,4127.3971056944,1
49,immediate,4,pump,ambulance,T,1,4128.12017830801,gas,4131.45295432819,4133.42086178382,1
49,immediate,4,child,trophy,T,1,4133.68649822106,study,4136.34870366586,4137.4046606633,1
49,immediate,4,shoulder,milk,T,NaN,4137.96952777898,forehead,4140.10854657177,4142.99639381464,1
49,immediate,5,radio,aisle,T,1,4331.12441384773,shoe,4334.13947216941,4334.89940140402,1
49,immediate,5,bracelet,audience,T,NaN,4335.59048410178,hurricane,4338.211319987,4340.4831364727,1
49,immediate,5,lung,plane,T,NaN,4341.07347447976,breath,4342.80304317733,4344.0270214877,1
49,immediate,5,mail,hostage,T,1,4345.3732050195,box,4348.538764757,4350.09070912992,1
49,immediate,6,pony,leaf,T,NaN,4572.75940914945,horse,4575.080193328,4576.04012473592,1
49,immediate,6,apple,jewel,T,1,4576.52552507321,peach,4578.22402992648,4581.0959422793,1
49,immediate,6,fountain,tea,T,NaN,4581.57521569347,tea,4583.43979161579,4583.99975610632,1
49,immediate,6,toe,bedroom,T,1,4584.35837610277,crane,4589.50347473029,4590.99143353641,1
49,immediate,7,park,coffee,T,NaN,5086.760052087,,NaN,NaN,1
49,immediate,7,willow,shore,T,1,5094.79255303254,,NaN,NaN,1
49,immediate,7,crowd,collar,T,NaN,5102.82537423945,,NaN,NaN,1
49,immediate,7,leather,bread,T,1,5110.85819393713,,NaN,NaN,1
49,immediate,8,avenue,shop,T,1,5338.86089970808,,NaN,NaN,1
49,immediate,8,rash,chocolate,T,NaN,5346.89343446067,mayor,5351.60381071798,5353.42773487671,1
49,immediate,8,bus,tape,T,NaN,5353.62633315212,laywer,5354.4277037863,5356.67556134032,1
49,immediate,8,foot,pepper,T,1,5357.30943738739,cook,5358.17955253358,5358.71545214356,1
49,immediate,9,emperor,laundry,T,1,5555.79745716693,cell,5560.46605787826,5561.19397365284,1
49,immediate,9,beach,pen,T,NaN,5561.46343813416,peach,5562.85793163069,5563.72187608571,1
49,immediate,9,screw,cell,T,NaN,5564.09660876104,door,5566.26577438205,5567.68968030912,1
49,immediate,9,bat,nest,T,1,5567.94637327384,dool,5571.14553691171,5571.72150933965,1
49,immediate,10,ground,whistle,T,NaN,5798.59908739091,college,5800.10288147703,5802.3746828703,1
49,immediate,10,brandy,salad,T,1,5802.66515993901,wine,5804.65460912265,5805.3425429357,1
49,immediate,10,nurse,mole,T,NaN,5805.99828610358,flame,5811.5742856979,5812.29421335082,1
49,immediate,10,spider,patch,T,1,5812.68120440011,nurse,5814.98212905296,5816.54202079797,1
49,immediate,1,moon,flag,T,1,3083.786072041,voult,3087.46983672103,3088.46977786055,2
49,immediate,1,port,babe,T,NaN,3089.2354162598,moon,3092.76556957777,3093.38961351002,2
49,immediate,1,medicine,elbow,T,NaN,3093.8517992743,cabinet,3095.68544446755,3099.27724945886,2
49,immediate,1,blood,bourbon,T,1,3099.61810415528,moon,3105.18903963544,3105.86896600853,2
49,immediate,2,policeman,ship,T,1,3355.35250303433,ski,3359.12911966758,3359.66508176022,2
49,immediate,2,lane,arrow,T,NaN,3360.16856162194,spot,3362.12096009592,3363.77691787816,2
49,immediate,2,lunch,hose,T,NaN,3364.0183252292,oven,3366.8167458969,3368.48065859745,2
49,immediate,2,store,puppy,T,1,3368.73469831288,lane,3370.77654962286,3373.3924101374,2
49,immediate,3,axe,knife,T,NaN,3591.83786081096,soup,3594.56607360458,3597.63793832569,2
49,immediate,3,gravy,pearl,T,1,3597.95382108648,sou,3599.78182744583,3600.18979244588,2
49,immediate,3,ditch,bed,T,1,3600.82031254009,axe,3607.01349323663,3607.75743626693,2
49,immediate,3,station,cent,T,NaN,3608.56983161979,train,3610.29335428968,3611.14928828625,2
49,immediate,4,nail,cape,T,NaN,4167.26799115825,hammer,4174.45092379258,4177.54677672469,2
49,immediate,4,pump,ambulance,T,1,4177.78368381479,up,4181.67460085803,4181.88257062729,2
49,immediate,4,child,trophy,T,1,4182.43338578456,study,4184.15452113378,4185.27442445771,2
49,immediate,4,shoulder,milk,T,NaN,4185.93318460246,forehead,4187.11435112057,4189.00225360173,2
49,immediate,5,radio,aisle,T,1,4374.40505367019,station,4376.49745828377,4377.52140846184,2
49,immediate,5,bracelet,audience,T,NaN,4377.80454547787,fork,4380.32127588993,4381.04132518785,2
