subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress
85,delay,1,poison,herd,S,1,4470.60512919272,herd,4473.35739298184,4473.74940558462
85,delay,1,kiss,dove,T,1,4473.95461132614,dove,4474.72542190135,4475.18931884541
85,delay,1,seat,tea,,1,4475.40451819076,tea,4477.00525488248,4477.27723889416
85,delay,1,dame,beast,,1,4477.47105226539,beast,4478.50915914334,4479.43710093727
85,delay,1,gallery,piano,,1,4479.72092586628,art,4485.54089218601,4485.77287612525
85,delay,1,elbow,quarter,,1,4486.12053931895,soup,4488.04475358438,4488.39670936718
85,delay,1,drum,crane,,1,4488.70371626955,stand,4490.77264189073,4491.24457857255
85,delay,1,horse,child,S,1,4491.62021045489,child,4494.68444021722,4495.25236777597
85,delay,1,soil,nest,,1,4495.45331805577,butt,4497.03632989518,4497.34827353159
85,delay,1,cotton,bone,T,1,4501.63627906387,party,4508.6517829141,4509.61970848065
85,delay,2,alcohol,horn,,1,4519.85217386842,,NaN,NaN
85,delay,2,spike,butcher,T,1,4527.88470318773,butcher,4528.89883845636,4529.63475925611
85,delay,2,armor,stove,,1,4529.86791889569,suit,4533.18669427173,4533.68259199817
85,delay,2,prisoner,frame,,1,4534.70096159912,cage,4537.86638942878,4538.25837818552
85,delay,2,magazine,badge,S,1,4538.48406616642,badge,4542.13823277901,4542.62617437975
85,delay,2,sock,ditch,,1,4542.80048380295,hop,4546.43401151673,4547.68994895438
85,delay,2,cheek,automobile,,1,4548.00016631858,face,4552.9776970098,4554.97757627035
85,delay,2,bread,ridge,T,1,4555.14973592774,bowl,4561.33733997119,4561.74528776586
85,delay,2,emperor,hose,,1,4562.01599043019,lung,4565.06511508431,4566.40109130347
85,delay,2,lemon,knife,S,1,4566.68237889306,juice,4569.12893886026,4569.51291021604
85,delay,3,dust,ticket,,1,4579.69858786164,angel,4583.23229212667,4583.56828887154
85,delay,3,bench,meal,S,1,4583.94801110441,meal,4586.08014231558,4586.33611506952
85,delay,3,wine,hostage,,1,4586.64784952484,date,4590.43195653139,4590.76795961507
85,delay,3,pudding,aunt,,1,4591.01425691362,aunt,4593.27181044873,4593.65580836718
85,delay,3,wire,pile,T,1,4593.88075591344,pile,4594.81574104287,4595.263708832
85,delay,3,snow,record,,1,4595.4306588842,shoe,4596.57566122202,4596.91961197965
85,delay,3,flood,wind,,1,4597.09722604145,room,4600.77545904382,4601.08744493904
85,delay,3,lunch,hardware,S,1,4601.58028825939,date,4604.58329195492,4604.87125281361
85,delay,3,powder,canal,T,1,4605.03008283631,fruit,4609.65511351168,4610.09500443567
85,delay,3,station,toast,,1,4610.263122642,anxiety,4614.80680662582,4616.17470454303
85,delay,4,library,janitor,,1,4626.29579896158,,NaN,NaN
85,delay,4,owl,pump,,1,4634.32833009198,,NaN,NaN
85,delay,4,cow,platform,T,1,4643.36112352883,herd,4647.78925080873,4648.09323198062
85,delay,4,dummy,gate,,1,4648.26082919625,gate,4651.59711511208,4652.40502408903
85,delay,4,cape,mayor,S,1,4652.64389772282,mayor,4654.31696971764,4654.79696062596
85,delay,4,poster,basket,,1,4655.01042102146,paint,4658.75676223898,4659.14875763639
85,delay,4,sign,branch,,1,4659.3434997958,change,4663.38854556963,4663.77249821079
85,delay,4,muscle,whip,T,1,4663.92655389401,,NaN,NaN
85,delay,4,thumb,note,,1,4674.95922840251,nail,4678.2918393115,4678.62784541367
85,delay,4,beach,restaurant,S,1,4678.87565497376,crane,4681.63568593135,4682.22767565401
85,delay,5,shrimp,breakfast,,1,4692.42516946536,tray,4695.32304260986,4695.68300734186
85,delay,5,cigarette,scissors,,1,4695.84131094059,scissors,4697.37898059083,4698.60286955401
85,delay,5,tomb,turkey,,1,4698.77446777298,rock,4700.37882634619,4700.64277695893
85,delay,5,blanket,ambulance,T,1,4700.89100971077,statement,4704.41860305066,4705.47450511166
85,delay,5,flesh,patch,S,1,4705.62406174132,bone,4711.96226349029,4712.29822642811
85,delay,5,cent,vault,T,1,4712.47364816345,idk,4715.20210786922,4715.41011386031
85,delay,5,siren,pencil,S,1,4716.64006484916,,NaN,NaN
