sub_num,group,version,datetime,exp_onset,list,repeating,practice,cue,target,study_order,study_onset,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score,final_order,final_onset,final_FP,final_LP,final_resp,final_score
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,castle,bomb,1,2694.7324505774,NaN,NaN,NaN,NaN,,NaN,18,2892.93010324912,2895.08744572071,2895.34341183921,bomb,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,butter,husband,2,2698.74871368729,NaN,NaN,NaN,NaN,,NaN,6,2848.11776575495,2849.17012651534,2849.99402407154,husband,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,tail,slave,3,2702.76499702079,NaN,NaN,NaN,NaN,,NaN,2,2838.46868870659,2840.90661487408,2841.59454783308,slave,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,newspaper,hat,4,2706.78123809599,NaN,NaN,NaN,NaN,,NaN,22,2907.41206347922,NaN,2917.4126360793,,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,tree,belly,5,2710.79756157488,NaN,NaN,NaN,NaN,,NaN,15,2878.39817015489,2880.40032774336,2880.96024942061,belly,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,ant,cafe,6,2714.81383887149,NaN,NaN,NaN,NaN,,NaN,21,2905.37889825346,2906.69471964329,2907.18273096127,cafe,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,bat,rash,7,2718.83011918654,NaN,NaN,NaN,NaN,,NaN,12,2869.83231873148,2871.21684699897,2871.55279783203,rash,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,drill,chart,8,2722.84642274366,NaN,NaN,NaN,NaN,,NaN,3,2842.01832622086,2843.25848199706,2843.72243747129,chart,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,iron,factory,9,2726.8627042661,NaN,NaN,NaN,NaN,,NaN,19,2895.69650083098,2896.75934165178,2897.69526386993,factory,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,tape,dentist,10,2730.87896315015,NaN,NaN,NaN,NaN,,NaN,10,2856.93355997873,2862.91333303954,2864.3612291493,dentist,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,worm,monk,11,2734.89526761281,NaN,NaN,NaN,NaN,,NaN,23,2917.42779654919,NaN,2927.4286903124,,0
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,piano,dial,12,2738.91153374115,NaN,NaN,NaN,NaN,,NaN,7,2850.25086765362,2851.88198643025,2852.17794369865,dial,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,cow,rocket,13,2742.92781586727,NaN,NaN,NaN,NaN,,NaN,8,2852.4839880252,2853.92985000112,2854.49781796207,rocket,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,bullet,medicine,14,2746.94410765244,NaN,NaN,NaN,NaN,,NaN,11,2864.98281596084,2868.72099465191,2869.56092168992,medicine,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,hammer,mansion,15,2750.96041875569,NaN,NaN,NaN,NaN,,NaN,9,2854.73377658274,2856.12972364878,2856.62568103791,mansion,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,neck,jail,16,2754.97666345302,NaN,NaN,NaN,NaN,,NaN,17,2882.81440724573,NaN,2892.91449121903,,0
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,ski,envelope,17,2758.99298270609,NaN,NaN,NaN,NaN,,NaN,20,2897.99627885412,2904.03892352393,2905.04684303272,envelope,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,salad,organ,18,2763.00922166837,NaN,NaN,NaN,NaN,,NaN,24,2927.44344781914,2930.38938827477,2930.88532634582,organ,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,river,policeman,19,2767.02553790299,NaN,NaN,NaN,NaN,,NaN,14,2874.29857577428,2875.52055353554,2877.76845586331,policeman,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,turtle,peach,20,2771.04178924091,NaN,NaN,NaN,NaN,,NaN,4,2843.96813934858,2845.17035561574,2845.61830907606,peach,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,root,essay,21,2775.05807468733,NaN,NaN,NaN,NaN,,NaN,25,2931.19308032278,2933.15724286272,2933.73316474281,essay,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,axe,bishop,22,2779.07435983191,NaN,NaN,NaN,NaN,,NaN,13,2871.76546880462,2873.26471268274,2873.75266000957,bishop,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,statue,stain,23,2783.09064618386,NaN,NaN,NaN,NaN,,NaN,16,2881.2312199551,2882.16818534977,2882.56813759788,stain,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,cup,soldier,24,2787.10694189302,NaN,NaN,NaN,NaN,,NaN,1,2834.41904817387,2836.54686416188,2837.4108038798,soldier,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,1,N,C,skull,storm,25,2791.12320379552,NaN,NaN,NaN,NaN,,NaN,5,2845.83462211112,2847.37823781648,2847.81016300237,storm,1
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,N,C,apple,cloth,26,2953.97420884901,NaN,NaN,NaN,NaN,,NaN,30,3164.52034254585,3166.35956749225,3166.91949882854,cloth,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,N,S,elephant,shed,27,2956.99059631906,14,3109.77574391224,NaN,NaN,,NaN,27,3158.63757403505,3159.56793143771,3159.95990531724,shed,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,N,C,moose,brass,28,2960.00698227988,NaN,NaN,NaN,NaN,,NaN,29,3162.17056087038,3163.66370868571,3164.32760904304,brass,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,N,T,ring,vest,29,2963.02334318757,4,3075.74570248099,3076.78877637447,3077.21275397998,vest,NaN,34,3173.31947462057,3174.33508031191,3174.92703076827,vest,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,N,C,strawberry,pile,30,2966.03969685097,NaN,NaN,NaN,NaN,,NaN,28,3160.18741740765,3161.47187256826,3161.91979041087,pile,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,R,C,needle,band,31,2969.05609126346,NaN,NaN,NaN,NaN,,NaN,45,3197.0171294052,3198.3896671796,3198.77362646916,band,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,R,T,cookie,band,32,2972.07246484863,9,3085.66140017471,3087.70016885213,3088.19607251284,band,NaN,NaN,NaN,NaN,NaN,,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,R,T,cage,blanket,33,2975.08884054673,7,3081.51181663033,3082.62044523353,3083.17241782117,blanket,NaN,NaN,NaN,NaN,NaN,,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,N,S,lobster,church,34,2978.10524371272,11,3100.72659719803,NaN,NaN,,NaN,38,3181.28534107586,3182.27861445874,3183.19854220911,church,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,R,C,barn,blanket,35,2981.12158409494,NaN,NaN,NaN,NaN,,NaN,40,3186.10153282957,3187.70229806717,3188.23025223984,blanket,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,R,C,salmon,hurricane,36,2984.13796613178,NaN,NaN,NaN,NaN,,NaN,41,3188.46797242827,3189.90215933918,3190.95809243582,hurricane,NaN
88,immediate,pilot4,2015-03-12-1621m05s,2557.26946583687,2,N,S,record,mistress,37,2987.15434877231,13,3106.75933320012,NaN,NaN,,NaN,44,3195.06732140884,3195.95780900331,3196.82974399313,mistress,NaN
