subj_id,group,version,datetime,list,half,repeating,practice,condition,cue,target,prac_order,prac_resp,prac_score,final_order,final_resp,final_score
79,1,pilot3,2014-11-20-1204m30s,1,1,R,T,21,golf,squirrel,1,squirrel,,1,squirrel,
79,1,pilot3,2014-11-20-1204m30s,1,1,N,T,5,magazine,lightning,8,lighting,,9,lighting,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,C,11,platform,spice,,,,23,spice,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,S,15,grass,sock,13,,,6,sock,
79,1,pilot3,2014-11-20-1204m30s,1,1,N,T,5,pencil,bell,3,bell,,21,bell,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,C,11,pool,drill,,,,12,drill,
79,1,pilot3,2014-11-20-1204m30s,1,1,N,S,3,spark,weed,10,,,3,weed,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,S,17,trophy,flesh,9,,,14,flesh,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,T,21,soup,moon,6,moon,,17,moon,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,S,13,drum,spot,12,,,7,spot,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,C,9,honeymoon,ball,,,,22,ball,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,S,17,church,throne,14,,,15,throne,
79,1,pilot3,2014-11-20-1204m30s,1,1,N,S,3,wheat,cabin,16,,,19,cabin,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,C,7,sword,medicine,,,,2,medal,
79,1,pilot3,2014-11-20-1204m30s,1,1,N,C,1,shark,bottle,,,,16,soup,
79,1,pilot3,2014-11-20-1204m30s,1,1,N,C,1,river,potato,,,,11,,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,C,7,brass,jury,,,,20,jury,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,T,23,mouse,wolf,7,,,5,,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,T,23,crane,plane,4,plane,,18,plane,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,T,19,telephone,thunder,5,bell,,4,,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,S,15,ring,cigar,15,,,24,cigar,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,S,13,crown,stove,11,,,8,throne,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,T,19,knee,juice,2,juice,,10,juice,
79,1,pilot3,2014-11-20-1204m30s,1,1,R,C,9,essay,camp,,,,13,camp,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,S,10,novel,ball,22,,,44,ball,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,S,16,coffee,sock,20,,,43,sock,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,S,16,clock,cigar,18,,,42,cigar,
79,1,pilot3,2014-11-20-1204m30s,1,2,N,S,4,bread,whistle,19,,,38,,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,T,24,glove,plane,29,,,27,shoe,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,S,10,tomato,camp,23,,,26,,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,T,12,ribbon,spice,30,spice,,32,spice,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,T,12,medal,drill,26,drill,,40,drill,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,T,24,cheek,wolf,27,spoon,,25,spoon,
79,1,pilot3,2014-11-20-1204m30s,1,2,N,C,2,cross,hose,,,,39,plane,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,T,18,frog,throne,31,throne,,31,throne,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,S,22,bullet,squirrel,24,,,30,squirrel,
79,1,pilot3,2014-11-20-1204m30s,1,2,N,C,2,witch,monk,,,,48,monk,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,C,20,shovel,juice,,,,29,juice,
79,1,pilot3,2014-11-20-1204m30s,1,2,N,T,6,cage,book,32,book,,46,book,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,C,8,doll,medicine,,,,35,medicine,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,C,14,basket,spot,,,,36,medal,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,T,18,battle,flesh,25,colonel,,45,medal,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,C,8,garlic,jury,,,,41,spoon,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,C,14,horse,stove,,,,33,,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,C,20,mayor,thunder,,,,47,,
79,1,pilot3,2014-11-20-1204m30s,1,2,N,T,6,brick,chair,28,chair,,34,chair,
79,1,pilot3,2014-11-20-1204m30s,1,2,R,S,22,restaurant,moon,21,,,37,moon,
79,1,pilot3,2014-11-20-1204m30s,1,2,N,S,4,babe,banana,17,,,28,banana,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,T,21,toad,nurse,35,nurse,,69,nurse,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,S,15,colonel,arrow,44,,,72,,
79,1,pilot3,2014-11-20-1204m30s,2,1,N,T,5,balloon,mate,38,mate,,57,mate,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,S,17,goat,hurricane,46,,,70,hall,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,C,7,laundry,spoon,,,,49,spoon,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,S,13,football,land,47,,,62,land,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,S,15,lemon,hall,45,,,66,hall,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,T,23,elephant,officer,40,drill,,54,drill,
79,1,pilot3,2014-11-20-1204m30s,2,1,N,T,5,animal,farm,39,,,59,,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,C,11,stomach,sand,,,,71,land,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,T,19,butterfly,kiss,36,kiss,,67,kiss,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,C,11,milk,corn,,,,63,herd,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,C,9,meat,badge,,,,50,grill,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,T,19,cabinet,morphine,37,shoe,,58,shoe,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,T,23,shrimp,train,34,house,,65,boat,
79,1,pilot3,2014-11-20-1204m30s,2,1,N,S,3,shoe,tobacco,48,,,53,,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,C,7,jelly,sweat,,,,64,,
79,1,pilot3,2014-11-20-1204m30s,2,1,N,S,3,lobster,apple,42,,,61,balloon,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,T,21,piano,reed,33,,,56,,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,C,9,ambulance,coach,,,,68,,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,S,13,cotton,cannon,43,,,52,cannon,
79,1,pilot3,2014-11-20-1204m30s,2,1,R,S,17,herd,cheese,41,,,51,goat,
79,1,pilot3,2014-11-20-1204m30s,2,1,N,C,1,dirt,prison,,,,55,prison,
79,1,pilot3,2014-11-20-1204m30s,2,1,N,C,1,wire,hostage,,,,60,medal,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,S,10,missile,badge,53,,,80,badge,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,T,24,hood,officer,58,shoe,,76,,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,T,18,statue,cheese,59,,,94,toad,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,T,24,toast,train,63,bread,,87,,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,S,22,suitcase,reed,52,,,82,reed,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,C,20,drug,morphine,,,,89,,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,C,14,bowl,cannon,,,,95,,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,S,16,quarter,arrow,49,,,74,arrow,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,T,18,plug,hurricane,64,,,96,chair,
79,1,pilot3,2014-11-20-1204m30s,2,2,N,C,2,plate,stake,,,,93,,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,S,16,cottage,hall,51,,,92,,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,S,22,skull,nurse,50,,,88,nurse,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,C,8,barrel,sweat,,,,90,hall,
79,1,pilot3,2014-11-20-1204m30s,2,2,N,T,6,turkey,dollar,62,hall,,75,hall,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,C,20,tongue,kiss,,,,84,kiss,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,S,10,lock,coach,56,,,79,sock,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,T,12,partner,sand,57,,,86,shoe,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,T,12,helmet,corn,60,drill,,91,land,
79,1,pilot3,2014-11-20-1204m30s,2,2,N,S,4,butter,spider,54,,,78,spider,
79,1,pilot3,2014-11-20-1204m30s,2,2,N,T,6,toilet,pants,61,pants,,73,pants,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,C,8,lamp,spoon,,,,85,,
79,1,pilot3,2014-11-20-1204m30s,2,2,N,S,4,leopard,tank,55,,,83,pant,
79,1,pilot3,2014-11-20-1204m30s,2,2,R,C,14,chin,land,,,,77,,
79,1,pilot3,2014-11-20-1204m30s,2,2,N,C,2,bishop,seal,,,,81,,
